id,school,location,date,description,L1,L2,clearance,actions,notes
3161,Clarendon Elementary School,Nurse's office ,8/23/01,Sink for drinking ,51,11,,,
3162,Clarendon Elementary School,Office ,8/23/01,Sink for drinking ,20,3,,,
3163,Clarendon Elementary School,B-Left ,11/15/01,Chicago sink drinker ,5,0,,,
3164,Clarendon Elementary School,C-Right ,11/15/01,Chicago sink drinker ,0,0,,,
3165,Clarendon Elementary School,D-Left ,11/15/01,Chicago sink drinker ,0,0,,,
3166,Clarendon Elementary School,E-Left ,11/15/01,Chicago sink drinker ,0,0,,,
3167,Clarendon Elementary School,Kitchen ,11/15/01,Sink for drinking ,0,0,,,
3168,Clarendon Elementary School,Near administration ,11/15/01,Chicago sink drinker ,0,0,,,
3169,Clarendon Elementary School,Nurse's office ,11/15/01,Sink for drinking ,6,0,,,
3170,Clarendon Elementary School,Office ,11/15/01,Sink for drinking ,0,5,,,
3171,Clarendon Elementary School,Boiler Room ,1/3/02,Sink faucet for washing ,7,0,,,
3172,Clarendon Elementary School,Boys/Girls Restroom to Left of Exit ,1/3/02,Sink faucet for washing ,15,0,,,
3173,Clarendon Elementary School,Coaches Office ,1/3/02,Sink faucet for washing ,11,0,,,
3174,Clarendon Elementary School,Community Center One Faculty Restroom ,1/3/02,Sink faucet for washing ,23,0,,,
3175,Clarendon Elementary School,Custodial Closet Outside Gym ,1/3/02,Sink faucet for washing ,12,0,,,
3176,Clarendon Elementary School,"Kitchen ""Wash"" Sink ",1/3/02,Sink faucet for washing ,212,0,,,
3177,Clarendon Elementary School,Kitchen Handwash ,1/3/02,Sink faucet for washing ,7,0,,,
3178,Clarendon Elementary School,Outside Pod C ,1/3/02,Sink faucet for washing ,62,0,,,
3179,Clarendon Elementary School,Pod A (L) ,1/3/02,Sink faucet for washing ,10,0,,,
3180,Clarendon Elementary School,Pod A Ã_Ã‚ ,1/3/02,Sink faucet for washing ,12,0,,,
3181,Clarendon Elementary School,Pod A Circular Handwash ,1/3/02,Sink faucet for washing ,0,0,,,
3182,Clarendon Elementary School,Pod B (L) ,1/3/02,Sink faucet for washing ,45,0,,,
3183,Clarendon Elementary School,Pod B Ã_Ã‚ ,1/3/02,Sink faucet for washing ,12,0,,,
3184,Clarendon Elementary School,Pod B Circular Handwash ,1/3/02,Sink faucet for washing ,0,0,,,
3185,Clarendon Elementary School,Pod C (L) ,1/3/02,Sink faucet for washing ,11,0,,,
3186,Clarendon Elementary School,Pod C Ã_Ã‚ ,1/3/02,Sink faucet for washing ,0,0,,,
3187,Clarendon Elementary School,Pod C Circular Handwash ,1/3/02,Sink faucet for washing ,0,0,,,
3188,Clarendon Elementary School,Pod D (L) ,1/3/02,Sink faucet for washing ,0,0,,,
3189,Clarendon Elementary School,Pod D Ã_Ã‚ ,1/3/02,Sink faucet for washing ,7,0,,,
3190,Clarendon Elementary School,Pod D Circular Handwash Sink ,1/3/02,Sink faucet for washing ,0,0,,,
3191,Clarendon Elementary School,Pod E Circular Handwash Sink ,1/3/02,Sink faucet for washing ,0,0,,,
3192,Clarendon Elementary School,Pod E Next to Boys Restroom (R) ,1/3/02,Sink faucet for washing ,5,0,,,
3193,Clarendon Elementary School,Pod E Next to Girls Restroom (L) ,1/3/02,Sink faucet for washing ,39,0,,,
3194,Clarendon Elementary School,Pod F (L) ,1/3/02,Sink faucet for washing ,44,0,,,
3195,Clarendon Elementary School,Pod F Ã_Ã‚ ,1/3/02,Sink faucet for washing ,14,0,,,
3196,Clarendon Elementary School,Pod F Circular Handwash ,1/3/02,Sink faucet for washing ,0,0,,,
3197,Clarendon Elementary School,Pod F on Wall Near Oven ,1/3/02,Sink faucet for washing ,0,0,,,
3198,Clarendon Elementary School,Pod G Faculty Mens Restroom ,1/3/02,Sink faucet for washing ,19,0,,,
3199,Clarendon Elementary School,Pod G Faculty Womens Restroom ,1/3/02,Sink faucet for washing ,0,0,,,
3200,Clarendon Elementary School,Restroom to Right of Gym ,1/3/02,Sink faucet for washing ,13,0,,,
3201,Clarendon Elementary School,Room to Left of Community Center One ,1/3/02,Sink faucet for washing ,30,0,,,
3202,Clarendon Elementary School,Teachers Lounge ,1/3/02,Sink faucet for washing ,0,0,,,
3203,Cleveland High School,Boiler room ,7/26/01,Service Connection ,6,5,,,
3204,Cleveland High School,Gymnasium fountain ,7/26/01,Central single bubbler ,19,11,,,
3205,Cleveland High School,Kitchen ,7/26/01,Sink for drinking ,18,1,,,
3206,Cleveland High School,"NE corner hall room 233, 2nd floor ",7/26/01,Central double bubbler ,31,38,,,
3207,Cleveland High School,"NE corner hallway, ground floor ",7/26/01,Central double bubbler ,10,3,,,
3208,Cleveland High School,"Near room 282, 1st floor NE corner ",7/26/01,Central double bubbler ,15,13,,,
3209,Cleveland High School,"NW corner hallway, 2nd floor ",7/26/01,Haws single bubbler ,77,69,,,
3210,Cleveland High School,"SE hallway, 1st floor ",7/26/01,Central single bubbler ,9,3,,,
3211,Cleveland High School,"SW corner, 1st floor near room 240 ",7/26/01,Haws single bubbler ,27,39,,,
3212,Cleveland High School,"SW hallway, ground floor ",7/26/01,Central single bubbler ,81,19,,,
3213,Cleveland High School,Weight room ,7/26/01,Haws single bubbler ,7,2,,,
3214,Cleveland High School,West gymnasium fountain ,7/26/01,Haws single bubbler ,6,3,,,
3215,Cleveland High School,"West hall, 2nd floor near room 317 ",7/26/01,Central single bubbler ,26,28,,,
3216,Cleveland High School,Wood shop ,7/26/01,Elkay single bubbler ,15,5,,,
3217,Cleveland High School,Near cafeteria entrance ,8/22/01,Central bubbler ,27,39,,,
3218,Cleveland High School,1st floor hall (room 281) ,9/15/01,Elkay single bubbler ,11,2,,,
3219,Cleveland High School,1st floor near room 116 ,9/15/01,Central single bubbler ,19,43,,,
3220,Cleveland High School,1st floor near room 117 ,9/15/01,Elkay single bubbler ,250,120,,,
3221,Cleveland High School,Boys locker room ,9/15/01,Haws single bubbler ,20,2,,,
3222,Cleveland High School,Girl's locker room ,9/15/01,Haws single bubbler ,4,1,,,
3223,Cleveland High School,Gymnasium fountain ,9/15/01,Haws single bubbler ,10,3,,,
3224,Cleveland High School,Hall near room 207 ,9/15/01,Elkay single bubbler ,920,50,,,
3225,Cleveland High School,Hall near room 217 ,9/15/01,Elkay single bubbler ,68,50,,,
3226,Cleveland High School,Hall near room 312 ,9/15/01,Elkay single bubbler ,180,79,,,
3227,Cleveland High School,Near room 302 ,9/15/01,Haws single bubbler ,110,99,,,
3228,Cleveland High School,Near room 306 ,9/15/01,Central single bubbler ,2,17,,,
3229,Cleveland High School,Near room 380 ,9/15/01,Central single bubbler ,50,120,,,
3230,Cleveland High School,1st floor near room 117 ,9/28/01,Elkay single bubbler ,19,18,,,
3231,Cleveland High School,Hall near room 207 ,9/28/01,Elkay single bubbler ,111,34,,,
3232,Cleveland High School,Hall near room 312 ,9/28/01,Elkay single bubbler ,81,63,,,
3233,Cleveland High School,Near room 302 ,9/28/01,Haws single bubbler ,62,92,,,
3234,Cleveland High School,Near room 380 ,9/28/01,Central single bubbler ,5,0,,,
3235,Cleveland High School,1st floor near room 117 ,11/15/01,Elkay single bubbler ,13,17,,,
3236,Cleveland High School,Boys locker room ,11/15/01,Haws single bubbler ,0,6,,,
3237,Cleveland High School,"Gym, north ",11/15/01,Double fountain ,0,0,,,
3238,Cleveland High School,"Gym, south ",11/15/01,Double fountain ,0,0,,,
3239,Cleveland High School,Hall near room 207 ,11/15/01,Elkay single bubbler ,0,9,,,
3240,Cleveland High School,Hall near room 217 ,11/15/01,Haws single bubbler ,0,6,,,
3241,Cleveland High School,Hall near room 312 ,11/15/01,Central single bubbler ,0,0,,,
3242,Cleveland High School,Kitchen ,11/15/01,Sink for drinking ,6,0,,,
3243,Cleveland High School,"NE corner hall room 233, 2nd floor ",11/15/01,Central double bubbler ,27,0,,,
3244,Cleveland High School,"Near room 282, 1st floor NE corner ",11/15/01,Elkay single bubbler ,0,0,,,
3245,Cleveland High School,Near room 302 ,11/15/01,Haws single bubbler ,6,8,,,
3246,Cleveland High School,Near room 306 ,11/15/01,Central single bubbler ,8,12,,,
3247,Cleveland High School,Near room 380 ,11/15/01,Haws single bubbler ,5,9,,,
3248,Cleveland High School,"SW corner, 1st floor near room 240 ",11/15/01,Central single bubbler ,0,0,,,
3249,Cleveland High School,"SW hallway, ground floor ",11/15/01,Central single bubbler ,5,7,,,
3250,Cleveland High School,VOID ,11/15/01,VOID,NULL,0,,,
3251,Cleveland High School,"Weight room, north ",11/15/01,Double fountain ,6,0,,,
3252,Cleveland High School,"Weight room, south ",11/15/01,Double fountain ,14,27,,,
3253,Cleveland High School,"West hall, 2nd floor near room 317 ",11/15/01,Elkay single bubbler ,0,15,,,
3254,Cleveland High School,Wood shop (no filter) ,11/15/01,Central single bubbler ,0,0,,,
3255,Cleveland High School,Art Room 250 ,12/29/01,Sink faucet for washing ,0,0,,,
3256,Cleveland High School,Boiler Room ,12/29/01,Sink faucet for washing ,0,0,,,
3257,Cleveland High School,Bookroom 265 ,12/29/01,Sink faucet for washing ,53,0,,,
3258,Cleveland High School,Boys Locker Room (1) ,12/29/01,Sink faucet for washing ,11,0,,,
3259,Cleveland High School,Boys Locker Room (2) ,12/29/01,Sink faucet for washing ,35,0,,,
3260,Cleveland High School,Boys Restroom 143 (1) ,12/29/01,Sink faucet for washing ,6,0,,,
3261,Cleveland High School,Boys Restroom 143 (2) ,12/29/01,Sink faucet for washing ,21,0,,,
3262,Cleveland High School,Boys Restroom 241 (1) ,12/29/01,Sink faucet for washing ,66,0,,,
3263,Cleveland High School,Boys Restroom 241(2) ,12/29/01,Sink faucet for washing ,21,0,,,
3264,Cleveland High School,Boys Restroom 243 (1) ,12/29/01,Sink faucet for washing ,28,0,,,
3265,Cleveland High School,Boys Restroom 243 (2) ,12/29/01,Sink faucet for washing ,0,0,,,
3266,Cleveland High School,Boys Restroom 264 (1) ,12/29/01,Sink faucet for washing ,30,0,,,
3267,Cleveland High School,Boys Restroom 264 (2) ,12/29/01,Sink faucet for washing ,138,0,,,
3268,Cleveland High School,Boys Restroom 343 (1) ,12/29/01,Sink faucet for washing ,26,0,,,
3269,Cleveland High School,Boys Restroom 343 (2) ,12/29/01,Sink faucet for washing ,29,0,,,
3270,Cleveland High School,Boys Restroom G27 ,12/29/01,Sink faucet for washing ,9,0,,,
3271,Cleveland High School,Boys Restroom Near 280 (1) ,12/29/01,Sink faucet for washing ,46,0,,,
3272,Cleveland High School,Boys Restroom Near 280 (2) ,12/29/01,Sink faucet for washing ,35,0,,,
3273,Cleveland High School,Boys Restroom Near 280 (3) ,12/29/01,Sink faucet for washing ,64,0,,,
3274,Cleveland High School,Boys Restroom Near 381 (1) ,12/29/01,Sink faucet for washing ,15,0,,,
3275,Cleveland High School,Boys Restroom Near 381 (2) ,12/29/01,Sink faucet for washing ,57,0,,,
3276,Cleveland High School,Business off Restroom ,12/29/01,Sink faucet for washing ,41,0,,,
3277,Cleveland High School,Cleveland Mall ,12/29/01,Sink faucet for washing ,26,0,,,
3278,Cleveland High School,Coaches Office G12 ,12/29/01,Sink faucet for washing ,21,0,,,
3279,Cleveland High School,Coaches Restroom G20 ,12/29/01,Sink faucet for washing ,38,0,,,
3280,Cleveland High School,Councelors ,12/29/01,Sink faucet for washing ,44,0,,,
3281,Cleveland High School,Dressing Room ,12/29/01,Sink faucet for washing ,35,0,,,
3282,Cleveland High School,Exam Room ,12/29/01,Sink faucet for washing ,0,0,,,
3283,Cleveland High School,Faculty Mens ,12/29/01,Sink faucet for washing ,0,0,,,
3284,Cleveland High School,Faculty Womens ,12/29/01,Sink faucet for washing ,24,0,,,
3285,Cleveland High School,First Aid Station (1) ,12/29/01,Sink faucet for washing ,38,0,,,
3286,Cleveland High School,First Aid Station (2) ,12/29/01,Sink faucet for washing ,32,0,,,
3287,Cleveland High School,Girls Coaches G20 ,12/29/01,Sink faucet for washing ,39,0,,,
3288,Cleveland High School,Girls Locker Room (1) ,12/29/01,Sink faucet for washing ,0,0,,,
3289,Cleveland High School,Girls Locker Room (2) ,12/29/01,Sink faucet for washing ,8,0,,,
3290,Cleveland High School,Girls Restroom (1) ,12/29/01,Sink faucet for washing ,12,0,,,
3291,Cleveland High School,Girls Restroom (2) ,12/29/01,Sink faucet for washing ,0,0,,,
3292,Cleveland High School,Girls Restroom (3) ,12/29/01,Sink faucet for washing ,18,0,,,
3293,Cleveland High School,Girls Restroom (Office) (1) ,12/29/01,Sink faucet for washing ,53,0,,,
3294,Cleveland High School,Girls Restroom (Office) (2) ,12/29/01,Sink faucet for washing ,59,0,,,
3295,Cleveland High School,Girls Restroom (Office) (3) ,12/29/01,Sink faucet for washing ,150,0,,,
3296,Cleveland High School,Girls Restroom 223 (1) ,12/29/01,Sink faucet for washing ,27,0,,,
3297,Cleveland High School,Girls Restroom 223 (2) ,12/29/01,Sink faucet for washing ,36,0,,,
3298,Cleveland High School,Girls Restroom 223 (3) ,12/29/01,Sink faucet for washing ,32,0,,,
3299,Cleveland High School,Girls Restroom 238 (1) ,12/29/01,Sink faucet for washing ,46,0,,,
3300,Cleveland High School,Girls Restroom 238 (2) ,12/29/01,Sink faucet for washing ,58,0,,,
3301,Cleveland High School,Girls Restroom 323 (1) ,12/29/01,Sink faucet for washing ,112,0,,,
3302,Cleveland High School,Girls Restroom 323 (2) ,12/29/01,Sink faucet for washing ,176,0,,,
3303,Cleveland High School,Girls Restroom 323 (3) ,12/29/01,Sink faucet for washing ,19,0,,,
3304,Cleveland High School,Girls Restroom G31 ,12/29/01,Sink faucet for washing ,9,0,,,
3305,Cleveland High School,Girls Restroom Near 381 (1) ,12/29/01,Sink faucet for washing ,31,0,,,
3306,Cleveland High School,Girls Restroom Near 381 (2) ,12/29/01,Sink faucet for washing ,18,0,,,
3307,Cleveland High School,Health Ctr. 163 - Nurses ,12/29/01,Sink faucet for washing ,9,0,,,
3308,Cleveland High School,Home Ec. (2) ,12/29/01,Sink faucet for washing ,17,0,,,
3309,Cleveland High School,Home Ec. (3) ,12/29/01,Sink faucet for washing ,9,0,,,
3310,Cleveland High School,Home Ec. (4) ,12/29/01,Sink faucet for washing ,34,0,,,
3311,Cleveland High School,Home Ec. (5) ,12/29/01,Sink faucet for washing ,34,0,,,
3312,Cleveland High School,Home Ec. (6) ,12/29/01,Sink faucet for washing ,19,0,,,
3313,Cleveland High School,Home Ec. 281 (1) ,12/29/01,Sink faucet for washing ,23,0,,,
3314,Cleveland High School,Home Ec. 283 ,12/29/01,Sink faucet for washing ,26,0,,,
3315,Cleveland High School,Kitchen Bathroom ,12/29/01,Sink faucet for washing ,0,0,,,
3316,Cleveland High School,Kitchen Dish Sink (1) ,12/29/01,Sink faucet for washing ,0,0,,,
3317,Cleveland High School,Kitchen Dish Sink (2) ,12/29/01,Sink faucet for washing ,27,0,,,
3318,Cleveland High School,Kitchen Dish Sink (3) ,12/29/01,Sink faucet for washing ,81,0,,,
3319,Cleveland High School,Kitchen Dish Sink (4) ,12/29/01,Sink faucet for washing ,32,0,,,
3320,Cleveland High School,Kitchen Handwash ,12/29/01,Sink faucet for washing ,0,0,,,
3321,Cleveland High School,Kitchen Main Prep ,12/29/01,Sink faucet for washing ,54,0,,,
3322,Cleveland High School,Kitchen West Prep 1 ,12/29/01,Sink faucet for washing ,18,0,,,
3323,Cleveland High School,Kitchen West Prep 2 ,12/29/01,Sink faucet for washing ,55,0,,,
3324,Cleveland High School,Office ,12/29/01,Sink faucet for washing ,10,0,,,
3325,Cleveland High School,Photo Lab Darkroom 1 ,12/29/01,Sink faucet for washing ,14,0,,,
3326,Cleveland High School,Photo Lab Darkroom 2 ,12/29/01,Sink faucet for washing ,29,0,,,
3327,Cleveland High School,Principal Office ,12/29/01,Sink faucet for washing ,70,0,,,
3328,Cleveland High School,Restroom ,12/29/01,Sink faucet for washing ,0,0,,,
3329,Cleveland High School,Room 137 Showers (1) ,12/29/01,Sink faucet for washing ,12,0,,,
3330,Cleveland High School,Room 137 Showers (2) ,12/29/01,Sink faucet for washing ,16,0,,,
3331,Cleveland High School,Room 137-6 ,12/29/01,Sink faucet for washing ,277,0,,,
3332,Cleveland High School,Room 137-7 ,12/29/01,Sink faucet for washing ,17,0,,,
3333,Cleveland High School,Room 203 (1) ,12/29/01,Sink faucet for washing ,63,0,,,
3334,Cleveland High School,Room 203 (2) ,12/29/01,Sink faucet for washing ,27,0,,,
3335,Cleveland High School,Room 213 Restroom ,12/29/01,Sink faucet for washing ,284,0,,,
3336,Cleveland High School,Room 225 ,12/29/01,Sink faucet for washing ,26,0,,,
3337,Cleveland High School,Room 227 ,12/29/01,Sink faucet for washing ,68,0.2,,,
3338,Cleveland High School,Room 233 ,12/29/01,Sink faucet for washing ,0,0.5,,,
3339,Cleveland High School,Room 285 (1) ,12/29/01,Sink faucet for washing ,27,0,,,
3340,Cleveland High School,Room 285 (2) ,12/29/01,Sink faucet for washing ,32,0,,,
3341,Cleveland High School,Room 285 (3) ,12/29/01,Sink faucet for washing ,55,0,,,
3342,Cleveland High School,Room 286 (1) ,12/29/01,Sink faucet for washing ,28,0,,,
3343,Cleveland High School,Room 286 (2) ,12/29/01,Sink faucet for washing ,23,0,,,
3344,Cleveland High School,Room 287 (1) ,12/29/01,Sink faucet for washing ,92,0,,,
3345,Cleveland High School,Room 287 (2) ,12/29/01,Sink faucet for washing ,42,0,,,
3346,Cleveland High School,Room 3 ,12/29/01,Sink faucet for washing ,26,0.5,,,
3347,Cleveland High School,Room 310 (1) ,12/29/01,Sink faucet for washing ,106,0,,,
3348,Cleveland High School,Room 310 (2) ,12/29/01,Sink faucet for washing ,47,0.2,,,
3349,Cleveland High School,Room 310 (3) ,12/29/01,Sink faucet for washing ,90,0,,,
3350,Cleveland High School,Room 310 (4) ,12/29/01,Sink faucet for washing ,82,0.3,,,
3351,Cleveland High School,Room 312 (1) ,12/29/01,Sink faucet for washing ,216,0,,,
3352,Cleveland High School,Room 312 (2) ,12/29/01,Sink faucet for washing ,87,0.3,,,
3353,Cleveland High School,Room 320 (1) ,12/29/01,Sink faucet for washing ,161,0,,,
3354,Cleveland High School,Room 320 (2) ,12/29/01,Sink faucet for washing ,136,0.3,,,
3355,Cleveland High School,Room 320A ,12/29/01,Sink faucet for washing ,188,0.4,,,
3356,Cleveland High School,Room 328A ,12/29/01,Sink faucet for washing ,56,0.3,,,
3357,Cleveland High School,Room 330 (1) ,12/29/01,Sink faucet for washing ,49,0.5,,,
3358,Cleveland High School,Room 330 (2) ,12/29/01,Sink faucet for washing ,56,0.3,,,
3359,Cleveland High School,Room 330 (3) ,12/29/01,Sink faucet for washing ,59,0.2,,,
3360,Cleveland High School,Room 330 (4) ,12/29/01,Sink faucet for washing ,43,0,,,
3361,Cleveland High School,Room 330 (5) ,12/29/01,Sink faucet for washing ,54,0.3,,,
3362,Cleveland High School,Room 330 (6) ,12/29/01,Sink faucet for washing ,92,0.4,,,
3363,Cleveland High School,Room 330 (7) ,12/29/01,Sink faucet for washing ,51,0.6,,,
3364,Cleveland High School,Room 330 (8) ,12/29/01,Sink faucet for washing ,58,0.5,,,
3365,Cleveland High School,Room 332 ,12/29/01,Sink faucet for washing ,36,0,,,
3366,Cleveland High School,Room 336 (1) ,12/29/01,Sink faucet for washing ,90,0.3,,,
3367,Cleveland High School,Room 336 (2) ,12/29/01,Sink faucet for washing ,24,0.2,,,
3368,Cleveland High School,Room 336 (3) ,12/29/01,Sink faucet for washing ,16,0,,,
3369,Cleveland High School,Room 336 (5) ,12/29/01,Sink faucet for washing ,24,0,,,
3370,Cleveland High School,Room 336 (6) ,12/29/01,Sink faucet for washing ,11,0,,,
3371,Cleveland High School,Room 336 (7) ,12/29/01,Sink faucet for washing ,49,0,,,
3372,Cleveland High School,Room 336 (8) ,12/29/01,Sink faucet for washing ,19,0,,,
3373,Cleveland High School,Room 336 (9) ,12/29/01,Sink faucet for washing ,39,0,,,
3374,Cleveland High School,Room 336(4) ,12/29/01,Sink faucet for washing ,31,0,,,
3375,Cleveland High School,Room 355 (1) ,12/29/01,Sink faucet for washing ,10,0,,,
3376,Cleveland High School,Room 355 (2) ,12/29/01,Sink faucet for washing ,21,0,,,
3377,Cleveland High School,Room 355 (3) ,12/29/01,Sink faucet for washing ,33,0,,,
3378,Cleveland High School,Room 357 (1) ,12/29/01,Sink faucet for washing ,83,0.4,,,
3379,Cleveland High School,Room 357 (2) ,12/29/01,Sink faucet for washing ,0,0,,,
3380,Cleveland High School,Room 357-C ,12/29/01,Sink faucet for washing ,8,0,,,
3381,Cleveland High School,Room 361 Workroom ,12/29/01,Sink faucet for washing ,379,0.3,,,
3382,Cleveland High School,Room 363 By Hood (5) ,12/29/01,Sink faucet for washing ,7,0.3,,,
3383,Cleveland High School,Room 363 By Hood (6) ,12/29/01,Sink faucet for washing ,12,0.8,,,
3384,Cleveland High School,Room 363 By Hood (7) ,12/29/01,Sink faucet for washing ,111,1,,,
3385,Cleveland High School,Room 363 By Hood 98) ,12/29/01,Sink faucet for washing ,37,0.4,,,
3386,Cleveland High School,Room 363 Mid (1) ,12/29/01,Sink faucet for washing ,9,1,,,
3387,Cleveland High School,Room 363 Mid (2) ,12/29/01,Sink faucet for washing ,18,0.9,,,
3388,Cleveland High School,Room 363 Mid (3) ,12/29/01,Sink faucet for washing ,13,1.1,,,
3389,Cleveland High School,Room 363 Mid (4) ,12/29/01,Sink faucet for washing ,0,1.3,,,
3390,Cleveland High School,Room 372 ,12/29/01,Sink faucet for washing ,26,0,,,
3391,Cleveland High School,Room 374 (1) ,12/29/01,Sink faucet for washing ,46,0,,,
3392,Cleveland High School,Room 374 (2) ,12/29/01,Sink faucet for washing ,24,0,,,
3393,Cleveland High School,Room 381 ,12/29/01,Sink faucet for washing ,18,0,,,
3394,Cleveland High School,Room 383 ,12/29/01,Sink faucet for washing ,11,0,,,
3395,Cleveland High School,Room 385 ,12/29/01,Sink faucet for washing ,6,0,,,
3396,Cleveland High School,Room 387 ,12/29/01,Sink faucet for washing ,90,0,,,
3397,Cleveland High School,Science Room 344 (1) ,12/29/01,Sink faucet for washing ,302,0.3,,,
3398,Cleveland High School,Science Room 344 (2) ,12/29/01,Sink faucet for washing ,18,0.2,,,
3399,Cleveland High School,Science Room 344 (3) ,12/29/01,Sink faucet for washing ,18,0,,,
3400,Cleveland High School,Science Room 344 (4) ,12/29/01,Sink faucet for washing ,12,0,,,
3401,Cleveland High School,Science Room 344 (5) ,12/29/01,Sink faucet for washing ,20,0,,,
3402,Cleveland High School,Science Room 344 (6) ,12/29/01,Sink faucet for washing ,0,0,,,
3403,Cleveland High School,Science Room 344 (7) ,12/29/01,Sink faucet for washing ,28,0,,,
3404,Cleveland High School,Science Room 344 (8) ,12/29/01,Sink faucet for washing ,46,0,,,
3405,Cleveland High School,Science Room 344 (9)-FAUCET OFF ,12/29/01,Sink faucet for washing,NULL,0,,,
3406,Cleveland High School,Science Room 366 (1) ,12/29/01,Sink faucet for washing ,12,0,,,
3407,Cleveland High School,Science Room 366 (2) ,12/29/01,Sink faucet for washing ,35,0,,,
3408,Cleveland High School,Science Room 366 (3) ,12/29/01,Sink faucet for washing ,11,0,,,
3409,Cleveland High School,Science Room 366 (4) ,12/29/01,Sink faucet for washing ,11,0,,,
3410,Cleveland High School,Science Room 366 (5) ,12/29/01,Sink faucet for washing ,11,0,,,
3411,Cleveland High School,Science Room 366 (6) ,12/29/01,Sink faucet for washing ,12,0,,,
3412,Cleveland High School,Science Room 366 (7) ,12/29/01,Sink faucet for washing ,7,0,,,
3413,Cleveland High School,Science Room 366 (8) ,12/29/01,Sink faucet for washing ,25,0,,,
3414,Cleveland High School,Teachers Lounge ,12/29/01,Sink faucet for washing ,78,0,,,
3415,Cleveland High School,Teachers Lunch Sink ,12/29/01,Sink faucet for washing ,34,0,,,
3416,Cleveland High School,Teachers Lunch Sink H2O Disp. ,12/29/01,Sink faucet for washing ,59,0,,,
3417,Cleveland High School,Teachers Office 363 ,12/29/01,Sink faucet for washing ,89,0,,,
3418,Cleveland High School,Vice Principal Office ,12/29/01,Sink faucet for washing ,65,0,,,
3419,Cleveland High School,1st floor near room 116 ,2/8/02,Elkay single bubbler ,0,0,,,
3420,Cleveland High School,1st floor near room 117 ,2/8/02,Elkay single bubbler ,0,0,,,
3421,Cleveland High School,"NE corner hall room 233, 2nd floor ",2/8/02,Central double bubbler ,0,0,,,
3422,Cleveland High School,Near cafeteria entrance ,2/8/02,Central single bubbler ,5,0,,,
3423,Cleveland High School,"Weight room, north ",2/8/02,Double fountain ,6,5,,,
3424,Cleveland High School,"Weight room, south ",2/8/02,Double fountain ,0,0,,,
3425,Cleveland High School,"West hall, 2nd floor near room 317 ",2/8/02,Elkay single bubbler ,0,0,,,
3426,Cleveland High School,"NW corner hallway, 2nd floor ",2/13/02,Central double bubbler ,0,0,,,
3427,Columbia Site,Boiler room ,8/3/01,Service Connection ,2,0,,,
3428,Columbia Site,Cafeteria ,8/3/01,Sink for drinking ,41,3,,,
3429,Columbia Site,Cafeteria ,8/3/01,Crane double bubbler ,17,12,,,
3430,Columbia Site,Main hallway ,8/3/01,Halsey Taylor ,43,5,,,
3431,Columbia Site,Main hallway ,8/3/01,Elkay single bubbler ,12,13,,,
3432,Columbia Site,Student Transportation ,8/3/01,Haws single bubbler ,28,14,,,
3433,Columbia Site,Study room ,8/3/01,Haws single bubbler ,162,71,,,
3434,Columbia Site,Teacher's lounge/kitchen ,9/18/01,Sink for drinking ,3,1,,,
3435,Columbia Site,Office ,11/9/01,Sink for drinking ,5,0,,,
3436,Columbia Site,Janitor Near Kitchen ,12/22/01,Sink faucet for washing ,41,0,,,
3437,Columbia Site,Kitchen ,12/22/01,Sink faucet for washing ,0,0,,,
3438,Columbia Site,Kitchen Near phone ,12/22/01,Sink faucet for washing ,22,0,,,
3439,Columbia Site,Mail Room ,12/22/01,Sink faucet for washing ,8,0,,,
3440,Columbia Site,Mens Room Across from Office ,12/22/01,Sink faucet for washing ,0,0,,,
3441,Columbia Site,Mens Room Near Room 117 ,12/22/01,Sink faucet for washing ,15,0,,,
3442,Columbia Site,Restroom Near Kitchen ,12/22/01,Sink faucet for washing ,10,0,,,
3443,Columbia Site,Room 10 ,12/22/01,Sink faucet for washing ,0,0,,,
3444,Columbia Site,Room 11 ,12/22/01,Sink faucet for washing ,0,0,,,
3445,Columbia Site,Room 16 Restroom ,12/22/01,Sink faucet for washing ,30,0,,,
3446,Columbia Site,Room 3 ,12/22/01,Sink faucet for washing ,13,0,,,
3447,Columbia Site,Room 7 ,12/22/01,Sink faucet for washing ,0,0,,,
3448,Columbia Site,Room 9 ,12/22/01,Sink faucet for washing ,0,0,,,
3449,Columbia Site,Teachers Lounge (Far Rt.) ,12/22/01,Sink faucet for washing ,71,0,,,
3450,Columbia Site,Teachers Lounge (L) ,12/22/01,Sink faucet for washing ,18,0,,,
3451,Columbia Site,Teachers Lounge Ã_Â© ,12/22/01,Sink faucet for washing ,26,0,,,
3452,Columbia Site,Teachers Lounge Ã_Ã‚ ,12/22/01,Sink faucet for washing ,72,0,,,
3453,Columbia Site,Womens Lower Level by Teachers ,12/22/01,Sink faucet for washing ,18,0,,,
3454,Columbia Site,Womens Restroom across from Room 2 ,12/22/01,Sink faucet for washing ,0,0,,,
3455,Columbia Site,X3 by 16 No # on Door ,12/22/01,Sink faucet for washing ,102,0,,,
3456,Columbia Site,Cafeteria ,1/30/02,In - wall ,0,0,,,
3457,Columbia Site,Main hallway ,1/30/02,Halsey Taylor double bubbler ,0,0,,,
3458,Columbia Site,Student Transportation ,1/30/02,Haws single bubbler ,16,10,,,
3459,Columbia Site,Study room ,1/30/02,Haws single bubbler ,0,0,,,
3460,Columbia Site,Student Transportation ,2/13/02,Haws single bubbler ,5,0,,,
